Présidentielle 2007 - 1er Tour;22/04/2007;11;18;7;75111;PARIS 11;1414;1223;1215;5;BOVE;José;13;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;18;7;75111;PARIS 11;1414;1223;1215;9;NIHOUS;Frédéric;3;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;19;7;75111;PARIS 11;1454;1262;1251;6;VOYNET;Dominique;36;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;49;6;75111;PARIS 11;1420;1282;1274;2;BUFFET;Marie-George;12;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;52;6;75111;PARIS 11;1374;1239;1235;12;SARKOZY;Nicolas;306;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;53;6;75111;PARIS 11;1509;1338;1333;11;LAGUILLER;Arlette;7;;;
Présidentielle 2007 - 1er Tour;22/04/2007;11;54;6;75111;PARIS 11;1364;1182;1174;5;BOVE;José;19;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;22;21;75120;PARIS 20;1471;1228;1212;6;VOYNET;Dominique;14;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;24;21;75120;PARIS 20;1745;1436;1411;6;VOYNET;Dominique;10;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;27;21;75120;PARIS 20;1670;1381;1359;2;BUFFET;Marie-George;31;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;29;21;75120;PARIS 20;1384;1154;1140;4;BAYROU;François;202;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;31;21;75120;PARIS 20;1663;1386;1371;4;BAYROU;François;268;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;31;21;75120;PARIS 20;1663;1386;1371;7;de VILLIERS;Philippe;18;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;31;21;75120;PARIS 20;1663;1386;1371;10;LE PEN;Jean-Marie;75;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;36;21;75120;PARIS 20;1726;1477;1464;9;NIHOUS;Frédéric;2;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;38;21;75120;PARIS 20;1838;1579;1565;3;SCHIVARDI;Gérard;2;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;39;21;75120;PARIS 20;1814;1593;1578;11;LAGUILLER;Arlette;22;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;40;21;75120;PARIS 20;1376;1220;1211;1;BESANCENOT;Olivier;32;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;40;21;75120;PARIS 20;1376;1220;1211;11;LAGUILLER;Arlette;6;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;51;6;75120;PARIS 20;1727;1491;1473;2;BUFFET;Marie-George;29;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;52;6;75120;PARIS 20;1860;1568;1546;3;SCHIVARDI;Gérard;2;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;53;6;75120;PARIS 20;1784;1530;1513;9;NIHOUS;Frédéric;1;;;
Présidentielle 2007 - 1er Tour;22/04/2007;20;54;6;75120;PARIS 20;1557;1340;1333;11;LAGUILLER;Arlette;11;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;36;16;75117;PARIS 17;1307;1165;1160;6;VOYNET;Dominique;7;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;39;16;75117;PARIS 17;1443;1245;1227;10;LE PEN;Jean-Marie;125;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;40;16;75117;PARIS 17;1501;1303;1295;6;VOYNET;Dominique;11;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;40;16;75117;PARIS 17;1501;1303;1295;8;ROYAL;Ségolène;225;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;40;16;75117;PARIS 17;1501;1303;1295;12;SARKOZY;Nicolas;712;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;42;16;75117;PARIS 17;1592;1435;1423;8;ROYAL;Ségolène;131;;;
Présidentielle 2007 - 1er Tour;22/04/2007;16;20;15;75116;PARIS 16;1589;1383;1375;10;LE PEN;Jean-Marie;70;;;
Présidentielle 2007 - 1er Tour;22/04/2007;16;21;15;75116;PARIS 16;1606;1367;1356;9;NIHOUS;Frédéric;2;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;37;16;75117;PARIS 17;1343;1203;1199;5;BOVE;José;0;;;
Présidentielle 2007 - 1er Tour;22/04/2007;17;38;16;75117;PARIS 17;1536;1352;1338;7;de VILLIERS;Philippe;29;;;
