48.8516275752, 2.38812193307;"{""type"": ""Polygon"", ""coordinates"": [[[2.386262668940784, 48.85294983711124], [2.387687585468814, 48.85327249672325], [2.388633430990504, 48.85273561173329], [2.389106307279301, 48.85242913357307], [2.389539472241654, 48.85186444839972], [2.390160902730166, 48.851501849295325], [2.390760385017967, 48.85048269101061], [2.387482367341708, 48.85045298020635], [2.386558058970973, 48.85046172572093], [2.386262668940784, 48.85294983711124]]]}";11;51;1089.51825095;70230.7289043
48.8499405497, 2.39053185393;"{""type"": ""Polygon"", ""coordinates"": [[[2.387423856827201, 48.85043816694746], [2.390775542073097, 48.85047467649336], [2.390375887073671, 48.851151447574445], [2.391064550839161, 48.85126722513109], [2.392170936716669, 48.85060012280988], [2.392225339315047, 48.85042394455281], [2.392280569076206, 48.85023116861288], [2.39269212447973, 48.85013546984513], [2.39310618667456, 48.84882013289433], [2.387446734360954, 48.8496912480584], [2.387423856827201, 48.85043816694746]]]}";11;50;1221.68915507;58648.4185988
48.8558670001, 2.3930997249;"{""type"": ""Polygon"", ""coordinates"": [[[2.394408846777465, 48.85655191679733], [2.395105838762193, 48.855499668869115], [2.396023677363766, 48.85435026002196], [2.394683596786847, 48.854023266949525], [2.394637044150334, 48.85411345588447], [2.392906209517909, 48.85372338367466], [2.392206864966064, 48.85551339331951], [2.391554203485514, 48.85580552468425], [2.39026786645843, 48.85801529002626], [2.389879657633114, 48.85814292351983], [2.38991713233684, 48.858366280340356], [2.392240350590412, 48.8576746613393], [2.394408846777465, 48.85655191679733]]]}";11;46;1494.57106971;94301.5975627
48.8503190008, 2.39761330608;"{""type"": ""Polygon"", ""coordinates"": [[[2.396726376942218, 48.85116550690309], [2.396282834316754, 48.85278315047239], [2.397085672787003, 48.85301217260425], [2.39838153844056, 48.85135037910618], [2.399139781851001, 48.84906702996025], [2.399121573195762, 48.84831469444444], [2.399079870555982, 48.84811409153516], [2.397497917279864, 48.84825172781148], [2.397463833877377, 48.848632477869515], [2.397305230071173, 48.848881063355066], [2.397042992586802, 48.84913198323453], [2.396804780310994, 48.849255218620485], [2.396521621418633, 48.84934655945554], [2.396152090191529, 48.84943110512743], [2.396396183513676, 48.850923770488684], [2.396832828025799, 48.851011509749014], [2.396726376942218, 48.85116550690309]]]}";11;48;1337.66045446;72508.5491797
48.8302951166, 2.36339310078;"{""type"": ""Polygon"", ""coordinates"": [[[2.361217105134259, 48.830969161103496], [2.363588811977487, 48.83149536301569], [2.364030028960859, 48.8312178747482], [2.364064584290167, 48.83095911405585], [2.364977060525795, 48.82933082259133], [2.364970201161384, 48.82908896304559], [2.36389347699351, 48.82885476682144], [2.362944815376578, 48.829969480649105], [2.362103581838773, 48.83032453042268], [2.361593285727954, 48.83062293918315], [2.361217105134259, 48.830969161103496]]]}";13;11;873.419738451;38340.5770367
48.8512920267, 2.28685645159;"{""type"": ""Polygon"", ""coordinates"": [[[2.282235170865182, 48.851922551100195], [2.284532507956976, 48.8534941121454], [2.287887463149236, 48.852155127729965], [2.288054801321585, 48.85234669801543], [2.291909210704463, 48.85095647992067], [2.292489748601583, 48.85074546935148], [2.291116921126776, 48.85046656091279], [2.291081975627496, 48.850357427225966], [2.290159890271883, 48.85021742049978], [2.289181803629656, 48.84996397086995], [2.288483490986686, 48.84990775484656], [2.288400279540778, 48.84934901997983], [2.287494109921908, 48.84912751840844], [2.286090625593149, 48.849642165114595], [2.285679787555027, 48.85062118463683], [2.28547235898057, 48.85073092116877], [2.28406728457986, 48.850717181116856], [2.282235170865182, 48.851922551100195]]]}";15;14;1918.74005529;161044.779457
48.8551132715, 2.29113872922;"{""type"": ""Polygon"", ""coordinates"": [[[2.289826726271669, 48.85819550282745], [2.295462997464315, 48.854593864872065], [2.295352617108275, 48.85451112765414], [2.295099487445426, 48.85465636905076], [2.294070979407218, 48.85391960785779], [2.293960411255332, 48.85377742343672], [2.292767362125832, 48.853082046077], [2.291158825974241, 48.85205482336288], [2.287571320418022, 48.85568585175664], [2.288141714740681, 48.85610180623427], [2.289001193288615, 48.857501307941845], [2.289826726271669, 48.85819550282745]]]}";15;16;1833.26313709;188676.999135
48.8525384108, 2.29413513445;"{""type"": ""Polygon"", ""coordinates"": [[[2.295102481516539, 48.8546543960726], [2.295348371164813, 48.85450832266957], [2.294185936419568, 48.85364313234015], [2.296346692102705, 48.85221710029828], [2.29639079295357, 48.85205327010609], [2.295114651314313, 48.85115428540005], [2.294029895879315, 48.85165644016729], [2.294045251843829, 48.85184247936995], [2.292888545189444, 48.85258275676953], [2.292372856518127, 48.852064024883504], [2.291569050545347, 48.85163843137652], [2.291161821002077, 48.85205087583042], [2.29288696740361, 48.85314921541888], [2.293966396792392, 48.853775451621765], [2.29406799820513, 48.853907761659805], [2.295102481516539, 48.8546543960726]]]}";15;18;1378.52261672;51532.8525118
48.8469686098, 2.30852698808;"{""type"": ""Polygon"", ""coordinates"": [[[2.305793412589948, 48.8480579949372], [2.307329457988009, 48.84710261670844], [2.308052597386642, 48.84738215595551], [2.310500817312537, 48.847952066704316], [2.312156936283578, 48.84689868474426], [2.309163413065904, 48.846187586328085], [2.308963499630141, 48.84577030411935], [2.306081629074387, 48.84657537070625], [2.305389136691226, 48.846808392490665], [2.30525647635309, 48.84760279631548], [2.305793412589948, 48.8480579949372]]]}";15;24;1297.64997231;65223.5018032
48.8433208915, 2.30391119672;"{""type"": ""Polygon"", ""coordinates"": [[[2.305620283614947, 48.84346103734492], [2.306403323408143, 48.84370273115066], [2.306204911173477, 48.84347333224823], [2.305874186956572, 48.84315410076195], [2.303808375819807, 48.842230067433725], [2.303233171192899, 48.84190347597021], [2.302684076743839, 48.84272149333033], [2.300862527675559, 48.84316929927736], [2.302296141112143, 48.843721874040675], [2.302514547408705, 48.84359756024373], [2.302716951769447, 48.8433503778954], [2.303347128030016, 48.84299397202102], [2.30374886502885, 48.843089564728956], [2.303812474885352, 48.84409913985784], [2.303544350290394, 48.84447035138259], [2.304131719956439, 48.8446325193164], [2.304786592385452, 48.84478439043024], [2.305620283614947, 48.84346103734492]]]}";15;28;1298.50162504;45286.7857783
